Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
IV	S782	1	Bottom_center	3	1.071	3.906
IV	S782	1	Bottom_center	4	1.085	3.946
IV	S782	1	Bottom_center	5	1.043	3.925
IV	S782	2	Bottom_center	1	1.04	4.084
IV	S782	2	Bottom_center	2	0.997	4.083
IV	S782	2	Bottom_center	3	1.065	4.099
IV	S782	2	Bottom_center	4	1.074	4.047
IV	S782	2	Bottom_center	5	1.04	4.007
IV	S782	3	Bottom_center	1	1.112	4.135
IV	S782	3	Bottom_center	2	1.071	4.253
IV	S782	3	Bottom_center	3	1.12	4.128
IV	S782	3	Bottom_center	4	1.125	4.134
IV	S782	3	Bottom_center	5	1.103	4.118
IV	S782	4	Bottom_center	1	1.042	4.22
IV	S782	4	Bottom_center	2	1.009	4.233
IV	S782	4	Bottom_center	3	1.062	4.186
IV	S782	4	Bottom_center	4	1.088	4.141
IV	S782	4	Bottom_center	5	1.036	4.175
IV	S782	5	Bottom_center	1	1.042	4.393
IV	S782	5	Bottom_center	2	1	4.372
IV	S782	5	Bottom_center	3	1.075	4.436
IV	S782	5	Bottom_center	4	1.067	4.407
IV	S782	5	Bottom_center	5	1.058	4.312
V	R29	1	Bottom_center	1	0.949	2.736
V	R29	1	Bottom_center	2	0.897	2.636
V	R29	1	Bottom_center	3	0.935	2.628
V	R29	1	Bottom_center	4	0.922	2.695
V	R29	1	Bottom_center	5	0.941	2.644
V	R29	2	Bottom_center	1	0.915	2.822
V	R29	2	Bottom_center	2	0.89	2.604
V	R29	2	Bottom_center	3	0.89	2.798
V	R29	2	Bottom_center	4	0.893	2.884
V	R29	2	Bottom_center	5	0.91	2.756
V	R29	3	Bottom_center	1	0.863	2.514
V	R29	3	Bottom_center	2	0.875	2.516
V	R29	3	Bottom_center	3	0.88	2.508
V	R29	3	Bottom_center	4	0.895	2.564
V	R29	3	Bottom_center	5	0.909	2.539
V	R29	4	Bottom_center	1	0.91	2.281
V	R29	4	Bottom_center	2	0.834	2.208
V	R29	4	Bottom_center	3	0.885	2.121
V	R29	4	Bottom_center	4	0.855	2.164
V	R29	4	Bottom_center	5	0.892	2.214
V	R29	5	Bottom_center	1	0.842	
V	R29	5	Bottom_center	2	0.802	
V	R29	5	Bottom_center	3	0.832	
V	R29	5	Bottom_center	4	0.831	
V	R29	5	Bottom_center	5	0.841	
V	R85	1	Bottom_center	1	0.72	1.662
V	R85	1	Bottom_center	2	0.684	1.763
V	R85	1	Bottom_center	3	0.717	1.707
V	R85	1	Bottom_center	4	0.711	1.726
V	R85	1	Bottom_center	5	0.716	1.712
V	R85	2	Bottom_center	1	0.743	2.068
V	R85	2	Bottom_center	2	0.713	2.101
V	R85	2	Bottom_center	3	0.741	2.261
V	R85	2	Bottom_center	4	0.732	2.163
V	R85	2	Bottom_center	5	0.739	2.034
V	R85	3	Bottom_center	1	0.724	1.865
V	R85	3	Bottom_center	2	0.702	1.899
V	R85	3	Bottom_center	3	0.717	1.915
V	R85	3	Bottom_center	4	0.719	1.953
V	R85	3	Bottom_center	5	0.726	1.865
V	R85	4	Bottom_center	1	0.746	2.322
V	R85	4	Bottom_center	2	0.725	2.305
V	R85	4	Bottom_center	3	0.738	2.178
V	R85	4	Bottom_center	4	0.74	2.366
V	R85	4	Bottom_center	5	0.744	2.339
V	R85	5	Bottom_center	1	0.719	2.187
V	R85	5	Bottom_center	2	0.693	2.466
V	R85	5	Bottom_center	3	0.717	2.207
V	R85	5	Bottom_center	4	0.723	2.362
V	R85	5	Bottom_center	5	0.723	2.314
V	Rs	1	Top_right	1	0.746	1.136
V	Rs	1	Top_right	2	0.712	1.136
V	Rs	1	Top_right	3	0.735	1.137
V	Rs	1	Top_right	4	0.742	1.139
V	Rs	1	Top_right	5	0.746	1.119
V	Rs	1	Top_left	1	0.746	0.926
V	Rs	1	Top_left	2	0.712	0.953
V	Rs	1	Top_left	3	0.713	0.812
V	Rs	1	Top_left	4	0.722	0.862
V	Rs	1	Top_left	5	0.733	0.842
V	Rs	1	Mid_right	1	0.76	0.96
V	Rs	1	Mid_right	2	0.698	0.949
V	Rs	1	Mid_right	3	0.727	0.956
V	Rs	1	Mid_right	4	0.731	0.963
V	Rs	1	Mid_right	5	0.751	0.938
V	Rs	1	Mid_left	1	0.747	0.7708
V	Rs	1	Mid_left	2	0.699	0.7426
V	Rs	1	Mid_left	3	0.742	0.7962
V	Rs	1	Mid_left	4	0.735	0.768
V	Rs	1	Mid_left	5	0.743	0.7678
V	Rs	1	Bottom_right	1	0.743	0.983
V	Rs	1	Bottom_right	2	0.712	1.085
V	Rs	1	Bottom_right	3	0.743	1.061
V	Rs	1	Bottom_right	4	0.736	1.009
V	Rs	1	Bottom_right	5	0.743	1.085
V	S805	1	Bottom_center	1	1.013	2.644
V	S805	1	Bottom_center	2	0.965	2.632
V	S805	1	Bottom_center	3	0.992	2.701
V	S805	1	Bottom_center	4	0.998	2.475
V	S805	1	Bottom_center	5	1.011	2.508
V	S805	2	Bottom_center	1	0.972	2.341
V	S805	2	Bottom_center	2	0.926	2.568
V	S805	2	Bottom_center	3	0.945	2.589
V	S805	2	Bottom_center	4	0.95	2.485
V	S805	2	Bottom_center	5	0.97	2.491
V	S805	3	Bottom_center	1	0.982	2.263
V	S805	3	Bottom_center	2	0.932	2.34
V	S805	3	Bottom_center	3	0.966	2.383
V	S805	3	Bottom_center	4	0.974	2.217
V	S805	3	Bottom_center	5	0.97	2.213
V	S805	4	Bottom_center	1	1.034	2.339
V	S805	4	Bottom_center	2	1	2.47
V	S805	4	Bottom_center	3	1.007	2.428
V	S805	4	Bottom_center	4	1.013	2.413
V	S805	4	Bottom_center	5	1.03	2.451
V	S805	5	Bottom_center	1	1.022	2.75
V	S805	5	Bottom_center	2	0.984	2.615
V	S805	5	Bottom_center	3	1.017	2.609
V	S805	5	Bottom_center	4	0.997	2.62
V	S805	5	Bottom_center	5	1.015	2.696
I	R22	1	Bottom_left	1	1.062	1.062
I	R22	1	Bottom_left	2	1.089	1.089
I	R22	1	Bottom_left	3	1.119	1.119
I	R22	1	Bottom_left	4	1.1	1.1
I	R22	1	Bottom_left	5	1.071	1.071
I	R22	2	Bottom_left	1	1.035	1.035
I	R22	2	Bottom_left	2	1.036	1.036
I	R22	2	Bottom_left	3	1.05	1.05
I	R22	2	Bottom_left	4	1.069	1.069
I	R22	2	Bottom_left	5	1.018	1.018
I	R22	3	Bottom_left	1	1.066	1.066
I	R22	3	Bottom_left	2	1.102	1.102
I	R22	3	Bottom_left	3	1.097	1.097
I	R22	3	Bottom_left	4	1.077	1.077
I	R22	3	Bottom_left	5	1.066	1.066
I	R22	4	Bottom_left	1	1.108	1.108
I	R22	4	Bottom_left	2	1.126	1.126
I	R22	4	Bottom_left	3	1.152	1.152
I	R22	4	Bottom_left	4	1.118	1.118
I	R22	4	Bottom_left	5	1.108	1.108
I	R22	5	Bottom_left	1	1.084	1.084
I	R22	5	Bottom_left	2	1.044	1.044
I	R22	5	Bottom_left	3	1.084	1.084
