Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	8	6	Mid_right	1	3.476							
Rs	I	___	8	6	Mid_right	2	3.458							
Rs	I	___	8	6	Mid_right	3	3.390							
Rs	I	___	8	6	Mid_right	4	3.809							
Rs	I	___	8	6	Mid_right	5	3.790							
Rs	I	___	8	7	Bottom_left	1								
Rs	I	___	8	7	Bottom_left	2								
Rs	I	___	8	7	Bottom_left	3								
Rs	I	___	8	7	Bottom_left	4								
Rs	I	___	8	7	Bottom_left	5								
Rs	I	___	8	8	Bottom_center	1	3.733							
Rs	I	___	8	8	Bottom_center	2	3.306							
Rs	I	___	8	8	Bottom_center	3	3.394							
Rs	I	___	8	8	Bottom_center	4	3.309							
Rs	I	___	8	8	Bottom_center	5	3.605							
Rs	I	___	8	9	Bottom_right	1	4.238							
Rs	I	___	8	9	Bottom_right	2	4.556							
Rs	I	___	8	9	Bottom_right	3	4.408							
Rs	I	___	8	9	Bottom_right	4	4.495							
Rs	I	___	8	9	Bottom_right	5	4.449							
Rs	I	___	9	1	Top_left	1	4.495					208.333	-87.839	4.495
Rs	I	___	9	1	Top_left	2	4.275					206.000	-140.631	4.275
Rs	I	___	9	1	Top_left	3	4.289					145.667	-52.224	4.289
Rs	I	___	9	1	Top_left	4	4.210					210.667	-139.899	4.210
Rs	I	___	9	1	Top_left	5	4.330					105.005	-40.236	4.330
Rs	I	___	9	2	Top_center	1	5.172					176.667	1.878	5.172
Rs	I	___	9	2	Top_center	2	5.336					112.333	-57.319	5.336
Rs	I	___	9	2	Top_center	3	5.469					117.667	-130.601	5.469
Rs	I	___	9	2	Top_center	4	5.230					149.000	-49.600	5.230
Rs	I	___	9	2	Top_center	5	5.188					131.333	-141.633	5.188
Rs	I	___	9	3	Top_right	1	4.983					171.667	-48.447	4.983
Rs	I	___	9	3	Top_right	2	4.922					202.000	-92.961	4.922
Rs	I	___	9	3	Top_right	3	5.085					184.667	0.000	5.085
Rs	I	___	9	3	Top_right	4	5.001					154.000	-90.971	5.001
Rs	I	___	9	3	Top_right	5	4.972					152.333	-119.624	4.972
Rs	I	___	9	4	Mid_left	1	3.907					222.000	-93.731	3.907
Rs	I	___	9	4	Mid_left	2	4.160					162.333	3.504	4.160
Rs	I	___	9	4	Mid_left	3	3.815					186.333	-88.727	3.815
Rs	I	___	9	4	Mid_left	4	4.068					117.667	0.000	4.068
Rs	I	___	9	4	Mid_left	5	4.069					214.333	-54.324	4.069
Rs	I	___	9	5	Mid_center	1						219.000	-90.000	4.068
Rs	I	___	9	5	Mid_center	2						206.000	-1.146	4.238
Rs	I	___	9	5	Mid_center	3						243.333	-83.928	4.006
Rs	I	___	9	5	Mid_center	4						169.000	-54.162	3.763
Rs	I	___	9	5	Mid_center	5						148.667	-90.000	3.898
Rs	I	___	9	6	Mid_right	1	4.068					227.000	-88.603	3.476
Rs	I	___	9	6	Mid_right	2	4.238					207.667	-2.793	3.479
Rs	I	___	9	6	Mid_right	3	4.006					242.667	-88.603	3.476
Rs	I	___	9	6	Mid_right	4	3.763					196.333	-1.364	3.560
Rs	I	___	9	6	Mid_right	5	3.898					160.667	-53.973	3.458
